Designator,Mid X,Mid Y,Rotation,Layer
MX42,78.10875,-164.84,180.0,bottom
MX43,109.065,-164.84,180.0,bottom
MX44,128.115,-164.84,180.0,bottom
MX45,147.165,-164.84,180.0,bottom
MX46,166.215,-164.84,180.0,bottom
MX47,185.265,-164.84,180.0,bottom
MX48,204.315,-164.84,180.0,bottom
MX49,223.365,-164.84,180.0,bottom
MX5,142.4025,-107.69,180.0,bottom
MX50,242.415,-164.84,180.0,bottom
MX51,261.465,-164.84,180.0,bottom
MX52,280.515,-164.84,180.0,bottom
MX53,311.47125,-164.84,180.0,bottom
MX54,342.4275,-164.84,180.0,bottom
MX55,68.58375,-183.89,180.0,bottom
MX56,92.39625,-183.89,180.0,bottom
MX57,116.20875,-183.89,180.0,bottom
MX58,187.64625,-183.89,180.0,bottom
MX59,256.7025,-183.89,180.0,bottom
MX6,161.4525,-107.69,180.0,bottom
MX60,278.13375,-183.89,180.0,bottom
MX61,301.94625,-183.89,180.0,bottom
MX62,323.3775,-183.89,180.0,bottom
MX63,342.4275,-183.89,180.0,bottom
MX64,361.4775,-183.89,180.0,bottom
MX7,180.5025,-107.69,180.0,bottom
MX8,199.5525,-107.69,180.0,bottom
MX9,218.6025,-107.69,180.0,bottom
U1,355.44,-123.695,0.0,top
en_co1,361.475,-162.315,0.0,top
